,Unnamed: 0,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
10,10,2005-07,4795477.0,2243374.0,2552103.0,17.683870967741935,14.05161290322581,21.416129032258056,5.119354838709677,1.564516129032258,5.032258064516129,1.935483870967742,2005-07,4795477.0,2243374.0,2552103.0,17.68387096774194,14.05161290322581,21.41612903225806,5.119354838709677,1.564516129032258,5.032258064516129,1.935483870967742,2000-11,3004146,1511732,1492414,7.92,5.916666666666667,9.82,1.563333333333333,4.176666666666667,6.533333333333332,1.5533333333333337
11,11,2005-08,4695502.0,2459777.0,2235725.0,16.441935483870967,12.209677419354838,20.44516129032258,6.674193548387098,1.3,3.5451612903225795,1.5290322580645164,2005-08,4695502.0,2459777.0,2235725.0,16.44193548387097,12.20967741935484,20.44516129032258,6.674193548387098,1.3,3.54516129032258,1.529032258064516,2000-12,2783392,1360805,1422587,5.448387096774193,3.4000000000000004,7.193548387096773,2.1451612903225805,2.6129032258064515,3.370967741935484,1.1322580645161289
12,12,2006-07,5021544.0,2346390.0,2675154.0,22.174193548387088,16.616129032258065,27.458064516129035,10.454838709677418,0.3483870967741934,0.7838709677419354,0.5580645161290323,2006-07,5021544.0,2346390.0,2675154.0,22.17419354838709,16.61612903225807,27.45806451612903,10.45483870967742,0.3483870967741934,0.7838709677419354,0.5580645161290323,2001-01,2780249,1410283,1369966,3.051612903225806,0.9322580645161292,5.296774193548385,2.338709677419355,1.929032258064516,2.303225806451613,0.8129032258064517
13,13,2006-08,4877589.0,2561406.0,2316183.0,16.670967741935485,12.8741935483871,20.84193548387097,4.377419354838709,2.616129032258064,8.564516129032258,3.412903225806451,2006-08,4877589.0,2561406.0,2316183.0,16.67096774193548,12.8741935483871,20.84193548387097,4.377419354838709,2.616129032258064,8.564516129032258,3.412903225806451,2001-02,2667331,1304053,1363278,4.617857142857143,1.8392857142857144,7.464285714285711,3.1357142857142857,2.792857142857143,3.1214285714285728,0.8999999999999997
14,14,2007-07,5172312.0,2424836.0,2747476.0,17.054838709677416,13.267741935483867,20.738709677419354,6.732258064516129,2.270967741935484,6.2354838709677445,3.4806451612903224,2007-07,5172312.0,2424836.0,2747476.0,17.05483870967742,13.26774193548387,20.73870967741935,6.732258064516129,2.270967741935484,6.235483870967744,3.480645161290322,2001-03,3255834,1651160,1604674,4.909677419354839,2.354838709677419,7.561290322580646,2.4387096774193555,1.632258064516129,2.0290322580645155,0.7419354838709677
15,15,2007-08,5121598.0,2703161.0,2418437.0,17.406451612903226,13.09677419354839,21.751612903225805,6.68709677419355,0.5806451612903226,1.038709677419355,0.6258064516129032,2007-08,5121598.0,2703161.0,2418437.0,17.40645161290323,13.09677419354839,21.7516129032258,6.68709677419355,0.5806451612903226,1.038709677419355,0.6258064516129032,2001-04,3457934,1698837,1759097,8.260000000000002,4.943333333333333,11.716666666666663,4.836666666666667,2.4166666666666656,2.64,0.8766666666666668
16,16,2008-07,5175950.0,2474763.0,2701187.0,18.154838709677424,13.970967741935484,22.34838709677419,6.293548387096774,2.351612903225807,4.554838709677418,1.7516129032258063,2008-07,5175950.0,2474763.0,2701187.0,18.15483870967742,13.97096774193548,22.34838709677419,6.293548387096774,2.351612903225807,4.554838709677418,1.751612903225806,2001-05,3782078,1880738,1901340,13.751612903225809,9.067741935483872,18.216129032258067,8.683870967741933,0.9741935483870968,1.0516129032258066,0.3645161290322581
17,17,2008-08,5025767.0,2655629.0,2370138.0,17.612903225806452,14.048387096774196,21.29032258064516,5.409677419354838,1.361290322580645,3.00967741935484,1.7580645161290325,2008-08,5025767.0,2655629.0,2370138.0,17.61290322580645,14.0483870967742,21.29032258064516,5.409677419354838,1.361290322580645,3.00967741935484,1.758064516129032,2001-06,3841225,1912937,1928288,15.083333333333334,10.803333333333336,19.149999999999995,7.116666666666665,1.0733333333333337,2.1,1.0533333333333332
18,18,2009-07,4851476.0,2275515.0,2575961.0,18.21935483870968,13.970967741935484,22.706451612903223,8.083870967741936,1.461290322580645,2.787096774193549,1.403225806451613,2009-07,4851476.0,2275515.0,2575961.0,18.21935483870968,13.97096774193548,22.70645161290322,8.083870967741936,1.461290322580645,2.787096774193549,1.403225806451613,2001-07,4278757,2011002,2267755,18.416129032258063,13.816129032258068,22.91935483870968,7.167741935483873,0.8129032258064517,1.3129032258064512,0.6677419354838708
19,19,2009-08,4811406.0,2553928.0,2257478.0,18.86774193548387,13.632258064516126,23.79677419354838,7.416129032258063,0.6,1.0064516129032255,0.5258064516129032,2009-08,4811406.0,2553928.0,2257478.0,18.86774193548387,13.63225806451613,23.79677419354838,7.416129032258063,0.6,1.006451612903225,0.5258064516129032,2001-08,4246834,2235051,2011783,18.51935483870968,14.154838709677424,22.92903225806452,5.667741935483871,1.7677419354838708,4.86451612903226,2.4096774193548383
