,"Periods (July, August)","Total number of passengers (July, August)","Total passengers arriving (July, August)","Total passengers departing (July, August)","TG (July, August)","TN (July, August)","TX (July, August)","SQ (July, August)","DR (July, August)","RH (July, August)","RHX (July, August)","Periods (July, August - All)","Total number of passengers (July, August - All)","Total passengers arriving (July, August - All)","Total passengers departing (July, August - All)","TG (July, August - All)","TN (July, August - All)","TX (July, August - All)","SQ (July, August - All)","DR (July, August - All)","RH (July, August - All)","RHX (July, August - All)",Periods (All),Total number of passengers (All),Total passengers arriving (All),Total passengers departing (All),TG (All),TN (All),TX (All),SQ (All),DR (All),RH (All),RHX (All)
56,,,,,,,,,,,,,,,,,,,,,,,2004-09,4153659,2067063,2086596,15.71333333333333,11.77333333333333,19.68333333333333,6.266666666666665,1.813333333333334,3.613333333333333,1.56
57,,,,,,,,,,,,,,,,,,,,,,,2004-10,4155554,2105582,2049972,11.63225806451613,8.499999999999998,15.10645161290322,3.945161290322581,1.82258064516129,2.151612903225807,0.864516129032258
58,,,,,,,,,,,,,,,,,,,,,,,2004-11,3247807,1626629,1621178,6.933333333333335,3.786666666666666,9.736666666666668,1.62,2.3,2.3,0.6466666666666664
59,,,,,,,,,,,,,,,,,,,,,,,2004-12,3102830,1513011,1589819,4.054838709677419,0.8709677419354839,6.777419354838709,1.661290322580645,1.687096774193548,1.274193548387097,0.3838709677419355
60,,,,,,,,,,,,,,,,,,,,,,,2005-01,3082853,1553002,1529851,5.596774193548387,3.161290322580645,7.967741935483871,2.835483870967741,1.548387096774194,1.335483870967742,0.5774193548387098
61,,,,,,,,,,,,,,,,,,,,,,,2005-02,2960333,1471477,1488856,2.814285714285714,-0.0178571428571428,5.482142857142859,3.25,1.850000000000001,1.982142857142857,0.6535714285714286
62,,,,,,,,,,,,,,,,,,,,,,,2005-03,3442365,1727088,1715277,6.345161290322581,2.696774193548387,9.770967741935484,3.451612903225806,1.445161290322581,1.132258064516129,0.3709677419354839
63,,,,,,,,,,,,,,,,,,,,,,,2005-04,3735323,1822611,1912712,10.36666666666667,5.816666666666667,14.99,6.46,2.313333333333333,2.26,0.8533333333333333
64,,,,,,,,,,,,,,,,,,,,,,,2005-05,4328422,2159477,2168945,12.71612903225806,8.016129032258064,17.42903225806452,7.199999999999997,1.061290322580645,1.14516129032258,0.6258064516129032
65,,,,,,,,,,,,,,,,,,,,,,,2005-06,4196547,2081012,2115535,16.82333333333334,12.20666666666667,21.62,7.793333333333334,0.8800000000000002,2.063333333333333,0.99
66,,,,,,,,,,,,,,,,,,,,,,,2005-07,4795477,2243374,2552103,17.68387096774194,14.05161290322581,21.41612903225806,5.119354838709677,1.564516129032258,5.032258064516129,1.935483870967742
67,,,,,,,,,,,,,,,,,,,,,,,2005-08,4695502,2459777,2235725,16.44193548387097,12.20967741935484,20.44516129032258,6.674193548387098,1.3,3.54516129032258,1.529032258064516
68,,,,,,,,,,,,,,,,,,,,,,,2005-09,4377505,2181782,2195723,16.41999999999999,12.41333333333334,20.7,6.529999999999999,0.9433333333333334,2.1,0.8833333333333333
69,,,,,,,,,,,,,,,,,,,,,,,2005-10,4297973,2180117,2117856,13.63870967741936,10.33225806451613,17.38064516129032,5.206451612903226,1.138709677419355,1.996774193548387,0.7096774193548386
70,,,,,,,,,,,,,,,,,,,,,,,2005-11,3362422,1678268,1684154,7.413333333333335,4.163333333333331,10.47333333333333,2.243333333333333,1.79,2.966666666666667,0.8800000000000002
71,,,,,,,,,,,,,,,,,,,,,,,2005-12,3213586,1564959,1648627,4.454838709677419,1.82258064516129,6.764516129032256,2.383870967741936,1.835483870967742,2.348387096774194,0.7225806451612903
72,,,,,,,,,,,,,,,,,,,,,,,2006-01,3167956,1600916,1567040,1.85483870967742,-1.141935483870968,4.358064516129032,2.606451612903226,0.6741935483870968,0.5258064516129033,0.2129032258064516
73,,,,,,,,,,,,,,,,,,,,,,,2006-02,3001753,1478158,1523595,3.203571428571428,1.164285714285714,5.389285714285713,2.067857142857143,1.767857142857143,2.035714285714286,0.5607142857142857
74,,,,,,,,,,,,,,,,,,,,,,,2006-03,3571343,1801205,1770138,3.945161290322581,0.6612903225806452,7.183870967741934,4.774193548387096,1.67741935483871,2.306451612903226,0.8612903225806449
75,,,,,,,,,,,,,,,,,,,,,,,2006-04,3990145,1947062,2043083,8.653333333333334,4.863333333333333,12.45,5.979999999999999,1.52,1.413333333333333,0.6
76,,,,,,,,,,,,,,,,,,,,,,,2006-05,4472259,2237114,2235145,14.23870967741936,9.96774193548387,18.49032258064516,6.5,2.051612903225806,3.038709677419356,1.080645161290323
77,,,,,,,,,,,,,,,,,,,,,,,2006-06,4487988,2239408,2248580,16.45,11.29333333333333,21.15666666666667,8.853333333333333,0.9233333333333332,1.27,0.4266666666666667
78,,,,,,,,,,,,,,,,,,,,,,,2006-07,5021544,2346390,2675154,22.17419354838709,16.61612903225807,27.45806451612903,10.45483870967742,0.3483870967741934,0.7838709677419354,0.5580645161290323
79,,,,,,,,,,,,,,,,,,,,,,,2006-08,4877589,2561406,2316183,16.67096774193548,12.8741935483871,20.84193548387097,4.377419354838709,2.616129032258064,8.564516129032258,3.412903225806451
80,,,,,,,,,,,,,,,,,,,,,,,2006-09,4563348,2281805,2281543,18.14666666666666,13.94,22.61333333333333,6.213333333333334,0.4166666666666667,0.5366666666666668,0.3366666666666666
81,,,,,,,,,,,,,,,,,,,,,,,2006-10,4452338,2250255,2202083,13.72258064516129,9.93225806451613,17.0516129032258,3.44516129032258,2.138709677419355,4.345161290322581,1.735483870967742
82,,,,,,,,,,,,,,,,,,,,,,,2006-11,3535989,1777377,1758612,9.523333333333332,6.366666666666666,12.35666666666666,2.486666666666667,2.533333333333333,2.903333333333334,0.8733333333333334
83,,,,,,,,,,,,,,,,,,,,,,,2006-12,3454304,1678294,1776010,6.932258064516128,4.45483870967742,9.429032258064517,1.2,2.564516129032258,2.980645161290324,0.8161290322580645
84,,,,,,,,,,,,,,,,,,,,,,,2007-01,3331523,1697485,1634038,7.383870967741936,4.770967741935484,9.783870967741937,1.825806451612904,2.703225806451612,2.925806451612903,0.9354838709677415
85,,,,,,,,,,,,,,,,,,,,,,,2007-02,3213977,1582442,1631535,6.05,3.103571428571428,8.953571428571431,1.939285714285715,2.975,2.089285714285714,0.7214285714285714
86,,,,,,,,,,,,,,,,,,,,,,,2007-03,3896807,1974602,1922205,8.216129032258062,4.396774193548388,12.14516129032258,5.870967741935485,2.183870967741935,2.380645161290322,0.8741935483870968
87,,,,,,,,,,,,,,,,,,,,,,,2007-04,4121803,2015658,2106145,12.93333333333333,7.666666666666665,18.63,9.54,0.0,-0.0066666666666666,-0.0066666666666666
88,,,,,,,,,,,,,,,,,,,,,,,2007-05,4566599,2293318,2273281,13.95806451612903,9.467741935483874,18.33870967741935,6.893548387096774,2.519354838709677,3.293548387096774,1.041935483870968
89,,,,,,,,,,,,,,,,,,,,,,,2007-06,4529566,2254865,2274701,17.19333333333334,13.64,21.18333333333334,6.286666666666666,2.113333333333333,4.579999999999999,2.196666666666667
90,,,,,,,,,,,,,,,,,,,,,,,2007-07,5172312,2424836,2747476,17.05483870967742,13.26774193548387,20.73870967741935,6.732258064516129,2.270967741935484,6.235483870967744,3.480645161290322
91,,,,,,,,,,,,,,,,,,,,,,,2007-08,5121598,2703161,2418437,17.40645161290323,13.09677419354839,21.7516129032258,6.68709677419355,0.5806451612903226,1.038709677419355,0.6258064516129032
92,,,,,,,,,,,,,,,,,,,,,,,2007-09,4713449,2352209,2361240,14.33,10.31,18.03333333333333,4.053333333333334,2.326666666666667,3.17,1.03
93,,,,,,,,,,,,,,,,,,,,,,,2007-10,4656638,2359933,2296705,10.58709677419355,6.741935483870966,14.06451612903226,3.938709677419354,0.7516129032258064,0.7612903225806451,0.3612903225806452
94,,,,,,,,,,,,,,,,,,,,,,,2007-11,3647578,1833621,1813957,7.379999999999999,4.266666666666667,10.15666666666666,2.076666666666667,1.913333333333334,1.876666666666667,0.6733333333333332
95,,,,,,,,,,,,,,,,,,,,,,,2007-12,3545823,1734500,1811323,4.229032258064516,1.719354838709677,6.474193548387099,2.087096774193548,1.870967741935484,2.24516129032258,0.6774193548387094
96,,,,,,,,,,,,,,,,,,,,,,,2008-01,3388686,1719180,1669506,6.558064516129033,3.993548387096775,8.661290322580646,1.390322580645161,3.058064516129032,2.44516129032258,0.7741935483870968
97,,,,,,,,,,,,,,,,,,,,,,,2008-02,3348700,1654896,1693804,5.458620689655172,1.644827586206897,9.017241379310343,4.610344827586206,0.8724137931034484,0.6862068965517242,0.3103448275862069
98,,,,,,,,,,,,,,,,,,,,,,,2008-03,3973721,2008137,1965584,5.906451612903227,2.248387096774194,9.025806451612905,3.903225806451613,3.419354838709677,3.438709677419354,0.8967741935483872
